"time_s","lin_acc_x","lin_acc_y","lin_acc_z","lin_acc_abs"
1.325289380E-1,3.787946701E-2,-3.139193058E-1,9.769105911E-1,1.026807912E0
1.510922720E-1,4.133576155E-1,-5.258526802E-1,9.649896622E-1,1.174133982E0
1.696555530E-1,-5.760455132E-2,-4.080257416E-1,-4.403686523E-2,4.144183099E-1
1.882368550E-1,1.886783242E-1,-1.002361774E0,-4.039573669E-2,1.020764641E0
2.067822200E-1,2.467319071E-1,-7.685143948E-1,3.245983124E-1,8.699741797E-1
2.253455530E-1,5.068989396E-1,-5.706827641E-1,-2.595729828E-1,8.062279365E-1
2.439568550E-1,7.897915840E-1,-7.118165493E-1,-4.690217972E-1,1.162082180E0
2.625199280E-1,4.725559950E-1,-8.854827881E-1,3.280124664E-1,1.055926662E0
2.810843550E-1,2.217557132E-1,-9.229481220E-1,1.904253006E0,2.127719047E0
2.995988340E-1,5.759698153E-2,-5.772893429E-1,1.747902870E0,1.841669037E0
3.181621670E-1,6.696683168E-2,-4.144279957E-1,1.306758881E0,1.372535570E0
3.367743550E-1,1.763547659E-1,-4.761281013E-1,6.239585876E-1,8.044397376E-1
3.553236260E-1,3.465091586E-1,-4.273543358E-1,-4.110383987E-1,6.867698964E-1
3.738998760E-1,3.895579278E-1,-3.387739658E-1,-9.982452393E-1,1.123840174E0
3.924154490E-1,4.158679843E-1,-3.580050468E-1,-9.436922073E-1,1.091635826E0
4.109962820E-1,4.383541346E-1,-2.599682808E-1,-5.347900391E-1,7.387409831E-1
4.295898240E-1,4.607129395E-1,-2.128100395E-1,1.073932648E-2,5.076020673E-1
4.481531570E-1,4.079505801E-1,-3.821246624E-1,6.470289230E-1,8.550376370E-1
4.666687300E-1,2.681160271E-1,-4.502673149E-1,8.914680481E-1,1.034090006E0
4.852320630E-1,-2.605712414E-2,-4.465467930E-1,6.267967224E-1,7.700371051E-1
5.038434170E-1,5.225853324E-1,6.930446625E-2,2.941656113E-1,6.036819904E-1
